Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Dr. Umair Hafeez,GUJRANWALA,Ent Specialist," MBBS , FCPS ( Otorhinolaryngologic ENT ) ",6,11,100,19,6,"Central Hospital, Jinnah Colony, Gujranwala",https://www.marham.pk/doctors/gujranwala/ent-specialist/dr-umair-hafeez#reviews-scroll,2000
Dr. Haris Shakeel,RAJAN-PUR,General Physician,MBBS,1,0,94,14,11,No Address Available,No Link Available,500
Dr. Iqra Rehman,MIRPUR-KHAS,General Physician,"MBBS, RMP, CFP (USA), Certified in Covid 19 +",6,9,100,10,0,"Rehman Clinic, tandoadam naka, Mirpur Khas",https://www.marham.pk/doctors/mirpur-khas/general-physician/dr-iqra-rehman#reviews-scroll,1000
Dr. Erum Memon,HYDERABAD,Gynecologist,"MBBS, FCPS (Gynae &amp; Obstetrics)",11,71,96,18,10,"Mehmood Hospital, Qasimabad, Hyderabad",https://www.marham.pk/doctors/hyderabad/gynecologist/dr-erum-memon#reviews-scroll,800
Dr. Aisha Ahmad,LAHORE,Dermatologist,"MBBS, FCPS (Dermatology), Certified (Aesthetic Medicine)",12,199,100,16,2,"Skinnovation, Johar Town, Lahore",https://www.marham.pk/doctors/lahore/dermatologist/dr-aisha-ahmad#reviews-scroll,1500
Dr. Saadat Hashmi,ISLAMABAD,Urologist,"MBBS, FCPS",15,22,96,15,9,"Maryam Memorial Hospital, Afzal Town, Rawalpindi",https://www.marham.pk/doctors/islamabad/urologist/dr-saadat-hashmi#reviews-scroll,2500
Dr. M.irfan,GUJRANWALA,Urologist,"MBBS,FCPS",10,0,94,14,11,"Gondal Medical Complex Hospital, Civil Lines, Gujranwala",No Link Available,1000
Prof. Dr. Abdul Rasheed Shaikh,,Urologist," MBBS , Master Of Surgery (Urology) ",33,4,100,14,11,No Address Available,https://www.marham.pk/online-consultation/urologist/khairpur/prof-dr-abdul-rasheed-shaikh-30043#reviews-scroll,1000
Dr. Awais Ahmad,NOWSHERA,Urologist,"MBBS, MCPS* (Urology)",3,0,94,14,11,No Address Available,No Link Available,1000
Dr. Aftab Alam,JHELUM,General Physician,"MBBS,FCPS Medicine, Training Geriatric Medicine UK, CHPE",10,0,94,14,11,"Cmh Hospital, Cantt, Jhelum",No Link Available,1500
Assoc. Prof. Dr. Irfan Munir,FAISALABAD,"Urologist, Sexologist, Andrologist","MBBS, FCPS, Associate Professor of Urology",8,94,100,14,11,"Saad Medical Complex, Peoples Colony, Faisalabad",https://www.marham.pk/doctors/faisalabad/urologist/assoc-prof-dr-irfan-munir#reviews-scroll,2000
Dr. Ayesha Tahir,VEHARI,General Physician,MBBS,3,2,100,14,11,No Address Available,https://www.marham.pk/online-consultation/general-physician/vehari/dr-ayesha-tahir-37986#reviews-scroll,500
Dr. Saba Sarwar,OKARA,Gynecologist,"MBBS, MRCOG, FCPS (Obstetrics &amp; Gynecology)",20,12,100,16,9,"National care hospital okara., 0, Okara",https://www.marham.pk/doctors/okara/gynecologist/dr-saba-sarwar#reviews-scroll,2000
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","MBBS, FCPS",10,185,98,14,11,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-tahir-khan#reviews-scroll,1000
Dr. Saba Siddiqui,KARACHI,General Physician,"General Physician, Aesthetic Physician, and MBBS",22,136,99,12,8,"Soha Medical &amp; Dental Center, Gulistan e Johar, Karachi",https://www.marham.pk/doctors/karachi/general-physician/dr-saba-siddiqui#reviews-scroll,1000
Assoc. Prof. Dr. Bushra Begum Ramejo,KHAIRPUR,Gynecologist,"MBBS, FCPS (Obstetrics and Gynecology)",18,5,100,18,8,"Rameja Medical centre, Civil Line, Khairpur",https://www.marham.pk/doctors/khairpur/gynecologist/assoc-prof-dr-bushra-begum-ramejo#reviews-scroll,1000
Dr. Javed Hussain,HYDERABAD,Pediatrician," MBBS , Diploma in Child Health (DCH) ",10,2,100,20,0,"Mehran Hospital, Qasimabad, Hyderabad",https://www.marham.pk/doctors/hyderabad/pediatrician/dr-javed-hussain#reviews-scroll,700
Dr. Tariq Saeed Pirzada,MULTAN,Pulmonologist / Lung Specialist," MBBS , DTCD ( T.B. &amp; Chest Diseases ) ",30,88,97,16,10,"Saeed Chest Care Clinic, Hafiz Jamal Road, Multan",https://www.marham.pk/doctors/multan/pulmonologist/dr-tariq-saeed-pirzada#reviews-scroll,1000
